biomodels_luid	name	format	format_version	publication_title	publication_year
MODEL1011080003	Islam2010_Dehalococcoides_Metabolism	SBML	L2V1	Characterizing the metabolism of Dehalococcoides with a constraint-based model.	2010.0
MODEL1011080004	Chang2010_Reduced_Kidney_FBA	SBML	L2V1	Drug off-target effects predicted using structural analysis in the context of a metabolic network model.	2010.0
MODEL1011090000	Goffin2010_L_plantarum_Metabolism	SBML	L2V1	Understanding the physiology of Lactobacillus plantarum at zero growth.	2010.0
MODEL1011090001	Bordbar2010_Macrophage_Metabolism	SBML	L2V4	Insight into human alveolar macrophage and M. tuberculosis interactions via metabolic reconstructions.	2010.0
MODEL1011090002	Bordbar2010_M_tuberculosis_Macrophage	SBML	L2V4	Insight into human alveolar macrophage and M. tuberculosis interactions via metabolic reconstructions.	2010.0
MODEL1011300000	Kim2011_VvuMBEL943_2022	SBML	L3V1	Integrative genome-scale metabolic analysis of Vibrio vulnificus for drug targeting and discovery.	2011.0
MODEL1012090002	Kim2011_Oscillator_DetailedI	SBML	L2V4	Synthetic in vitro transcriptional oscillators.	2011.0
MODEL1012090003	Kim2011_Oscillator_DetailedII	SBML	L2V4	Synthetic in vitro transcriptional oscillators.	2011.0
MODEL1012090004	Kim2011_Oscillator_DetailedIII	SBML	L2V4	Synthetic in vitro transcriptional oscillators.	2011.0
MODEL1012090005	Kim2011_Oscillator_ExtendedI	SBML	L2V4	Synthetic in vitro transcriptional oscillators.	2011.0
MODEL1012090006	Kim2011_Oscillator_ExtendedIII	SBML	L2V4	Synthetic in vitro transcriptional oscillators.	2011.0
MODEL1012110000	MODEL1012110000				
MODEL1012110001	Li2010_YeastGlycolysis	SBML	L2V4	Systematic integration of experimental data and models in systems biology.	2010.0
MODEL1012140000	Rattanakul2003_BoneFormation_PTHadministration	SBML	L2V4	Modeling of bone formation and resorption mediated by parathyroid hormone: response to estrogen/PTH therapy.	2003.0
MODEL1012140001	Rattanakul2003_BoneFormation_Estrogenadministration	SBML	L2V4	Modeling of bone formation and resorption mediated by parathyroid hormone: response to estrogen/PTH therapy.	2003.0
MODEL1012220002	Caron2010_mTOR_SignalingNetwork	SBML	L2V1	A comprehensive map of the mTOR signaling network.	2010.0
MODEL1012220003	Caron2010_mTORC1_UpstreamRegulators	SBML	L2V1	A comprehensive map of the mTOR signaling network.	2010.0
MODEL1012220004	Caron2010_mTORsignalingNetwork_ActivityFlow	SBML	L2V1	A comprehensive map of the mTOR signaling network.	2010.0
MODEL1012300000	MacDonald2011_GeneticMetabolicDeterminants_BuchnereAphidicola	SBML	L2V4	Genetic and metabolic determinants of nutritional phenotype in an insect-bacterial symbiosis.	2011.0
MODEL1101100000	Bakker1997_Glycolysis	SBML	L2V4	Glycolysis in bloodstream form Trypanosoma brucei can be understood in terms of the kinetics of the glycolytic enzymes.	1997.0
MODEL1101170000	Nakano2010_Synaptic_Plasticity	SBML	L2V4	A kinetic model of dopamine- and calcium-dependent striatal synaptic plasticity.	2010.0
MODEL1101180000	DiVentura2011_Min_System_E_coli	SBML	L2V1	Self-organized partitioning of dynamically localized proteins in bacterial cell division.	2011.0
MODEL1102100007	MODEL1102100007				
MODEL1102210000	Wei2011_MLCactivationPathway_EndothelialPermeability	SBML	L2V4	An integrated mathematical model of thrombin-, histamine-and VEGF-mediated signalling in endothelial permeability.	2011.0
MODEL1102210001	Telesco2011_HER3-ErbB3-RTK_SignalingNetwork	SBML	L2V4	A multiscale modeling approach to investigate molecular mechanisms of pseudokinase activation and drug resistance in the HER3/ErbB3 receptor tyrosine kinase signaling network.	2011.0
MODEL1103210000	MODEL1103210000				
MODEL1103210001	Jamshidi01_RBC_MetabolicNetwork	SBML	L2V4	Dynamic simulation of the human red blood cell metabolic network.	2001.0
MODEL1105030000	Zhuang2011 - Ecoli FBA with membrane economics	SBML	L2V4	Economics of membrane occupancy and respiro-fermentation.	2011.0
MODEL1105100000	Shlomi2011 - Warburg effect, metabolic model	SBML	L2V4	Genome-scale metabolic modeling elucidates the role of proliferative adaptation in causing the Warburg effect.	2011.0
MODEL1105180000	Smallbone2009 - FBA model-Geometric Perspective	SBML	L2V4	Flux balance analysis: a geometric perspective.	2009.0
MODEL1106080000	Bordbar2011_HumanErythrocyte_MetabolicNetwork	SBML	L2V4	iAB-RBC-283: A proteomically derived knowledge-base of erythrocyte metabolism that can be used to simulate its physiological and patho-physiological states.	2011.0
MODEL1106160000	Smith2011_HumanHeartMitochondrian_MetabolicModel	SBML	L2V4	A metabolic model of the mitochondrion and its use in modelling diseases of the tricarboxylic acid cycle.	2011.0
MODEL1106200000	Chang2011_MetabolicNetworkReconstruction_ChlamydomonasReinhardtii	SBML	L2V4	Metabolic network reconstruction of Chlamydomonas offers insight into light-driven algal metabolism.	2011.0
MODEL1106220000	Imam2011_RhodobacterSphaeroides_MetabolicNetwork	SBML	L2V4	iRsp1095: a genome-scale reconstruction of the Rhodobacter sphaeroides metabolic network.	2011.0
MODEL1107050000	Bialik2010_Apoptosis_SPIKEmodel	SBML	L2V4	Systems biology analysis of programmed cell death.	2010.0
MODEL1107190000	Szappanos2011_GeneticInteractionNetwork_YeastMetabolism	SBML	L2V4	An integrated approach to characterize genetic interaction networks in yeast metabolism.	2011.0
MODEL1108160000	Orth2011_E.coli_MetabolicNetwork	SBML	L2V4	A comprehensive genome-scale reconstruction of Escherichia coli metabolism--2011.	2011.0
MODEL1108260010	Jesty1993_ProteolyticPositiveFeedback	SBML	L2V4	Mathematical analysis of a proteolytic positive-feedback loop: dependence of lag time and enzyme yields on the initial conditions and kinetic parameters.	1993.0
MODEL1108260014	Chatterjee2010_BloodCoagulation	SBML	L2V4	Systems biology of coagulation initiation: kinetics of thrombin generation in resting and activated human blood.	2010.0
MODEL1108260015	Qiao2004_ThrombinGeneration	SBML	L2V4	The kinetic model and simulation of blood coagulation--the kinetic influence of activated protein C.	2004.0
MODEL1109130000	Thiele2013 - Human metabolism global reconstruction (Recon 2)	SBML	L2V4	A community-driven global reconstruction of human metabolism.	2013.0
MODEL1109150000	Kuharsky2001_BloodCoagulation	SBML	L2V4	Surface-mediated control of blood coagulation: the role of binding site densities and platelet deposition.	2001.0
MODEL1109150001	Leipold1995_ThrombinFormation-inhibitors	SBML	L2V4	Mathematical model of serine protease inhibition in the tissue factor pathway to thrombin.	1995.0
MODEL1109150002	Leipold1995_ThrombinFormation+inhibitors	SBML	L2V4	Mathematical model of serine protease inhibition in the tissue factor pathway to thrombin.	1995.0
MODEL1109160000	Kogan2001_aPTT_preincubation	SBML	L2V4	Analysis of the activated partial thromboplastin time test using mathematical modeling.	2001.0
MODEL1109160001	Kogan2001_aPTT_coagulation	SBML	L2V4	Analysis of the activated partial thromboplastin time test using mathematical modeling.	2001.0
MODEL1110130000	González-Domenech2012_MetabolicNetwork_iCG238	SBML	L2V1	Metabolic stasis in an ancient symbiosis: genome-scale metabolic networks from two Blattabacterium cuenoti strains, primary endosymbionts of cockroaches.	2012.0
MODEL1110130001	González-Domenech2012_MetabolicNetwork_iCG230	SBML	L2V1	Metabolic stasis in an ancient symbiosis: genome-scale metabolic networks from two Blattabacterium cuenoti strains, primary endosymbionts of cockroaches.	2012.0
MODEL1111070000	Bordbar2011_TissueSpecific-Adipocyte_MetabolicNetwork	SBML	L2V1	A multi-tissue type genome-scale metabolic network for analysis of whole-body systems physiology.	2011.0
MODEL1111070001	Bordbar2011_TissueSpecific-Hepatocyte_MetabolicNetwork	SBML	L2V1	A multi-tissue type genome-scale metabolic network for analysis of whole-body systems physiology.	2011.0
MODEL1111070002	Bordbar2011_TissueSpecific-Myocyte_MetablicNetwork	SBML	L2V1	A multi-tissue type genome-scale metabolic network for analysis of whole-body systems physiology.	2011.0
MODEL1111070003	Bordbar2011_MultiTissueType_MetabolicNetwork	SBML	L2V1	A multi-tissue type genome-scale metabolic network for analysis of whole-body systems physiology.	2011.0
MODEL1111190000	Loira2012 - Metabolic Network of Y.lipolytica	SBML	L2V4	A genome-scale metabolic model of the lipid-accumulating yeast Yarrowia lipolytica.	2012.0
MODEL1111240000	Huthmacher2010_MetabolicNetwork_P.falciparum	SBML	L2V4	Antimalarial drug targets in Plasmodium falciparum predicted by stage-specific metabolic network analysis.	2010.0
MODEL1111240001	Huthmacher2010_HumanErythrocyte_MetabolicNetwork	SBML	L2V4	Antimalarial drug targets in Plasmodium falciparum predicted by stage-specific metabolic network analysis.	2010.0
MODEL1112050000	Kiselyov2009_InsulinReceptorModel	SBML	L2V4	Harmonic oscillator model of the insulin and IGF1 receptors' allosteric binding and activation.	2009.0
MODEL1112050001	Liu2009_GlucoseMobilization_UptakeModel	SBML	L2V4	A molecular mathematical model of glucose mobilization and uptake.	2009.0
MODEL1112100000	Jönsson2005_WUSCHELexpression_ShootApicalMeristem	SBML	L2V1	Modeling the organization of the WUSCHEL expression domain in the shoot apical meristem.	2005.0
MODEL1112110000	Alvehag2006_IVGTT_GlucoseModel_A	SBML	L2V4	The Feedback Control of Glucose: On the road to type II diabetes 	2008.0
MODEL1112110001	Alvehag2006_OGTT_GlucoseModel_B	SBML	L2V4	The Feedback Control of Glucose: On the road to type II diabetes 	2008.0
MODEL1112110002	Farhy2009_GlucagonCounterRegulationModel	SBML	L2V4	Pancreatic network control of glucagon secretion and counterregulation.	2009.0
MODEL1112110003	Gaetano2008_DiabetesProgressionModel	SBML	L2V4	Mathematical models of diabetes progression.	2008.0
MODEL1112110004	Silber2007_IntravenousGlucose_IntegratedGlucoseInsulinModel	SBML	L2V4	An integrated model for glucose and insulin regulation in healthy volunteers and type 2 diabetic patients following intravenous glucose provocations.	2007.0
MODEL1112150000	Tiemann2011_PhenotypeTransitions	SBML	L2V4	Parameter adaptations during phenotype transitions in progressive diseases.	2011.0
MODEL1112170000	MODEL1112170000				
MODEL1112180000	MODEL1112180000				
MODEL1112190000	MODEL1112190000				
MODEL1112190001	MODEL1112190001				
MODEL1112260002	Smith2010_Foxo_PTMs_AgeingRelatedSignallingPathway_C	SBML	L2V4	Modelling the response of FOXO transcription factors to multiple post-translational modifications made by ageing-related signalling pathways.	2010.0
MODEL1150151512	Bondarenko2004_Myocyte_AP_apical	SBML	L2V3	Computer model of action potential of mouse ventricular myocytes.	2004.0
MODEL1172200168	Bingzheng1990_GlucocorticoidsSecretion	SBML	L2V3	A mathematical model of the regulation system of the secretion ofglucocorticoids	1990.0
MODEL1172425728	Cui2008_CardiacMyocytes	SBML	L2V3	Simulating Complex Calcium-Calcineurin Signaling Network	2008.0
MODEL1172940336	DePaor1986_CirculatoryAutoregulation	SBML	L2V3	A feedback oscillator model for circulatory autoregulation	1986.0
MODEL1173105855	Gilbert2008_ElectrochemicalBiosensor	SBML	L2V3	A Case Study in Model-driven Synthetic Biology	2008.0
MODEL1174288274	MODEL1174288274				
MODEL1201070000	Gall1999_CalciumBursting_BetaCellModel_A	SBML	L2V4	Effect of Na/Ca exchange on plateau fraction and [Ca]i in models for bursting in pancreatic beta-cells.	1999.0
MODEL1201070001	Gall1999_CalciumBursting_BetaCellModel_B	SBML	L2V4	Effect of Na/Ca exchange on plateau fraction and [Ca]i in models for bursting in pancreatic beta-cells.	1999.0
MODEL1201140000	Gall1999_CalciumBursting_BetaCellModel_C	SBML	L2V4	Effect of Na/Ca exchange on plateau fraction and [Ca]i in models for bursting in pancreatic beta-cells.	1999.0
MODEL1201140001	Keener2001_OscillatoryInsulinSecretionModel	SBML	L2V4	Diffusion induced oscillatory insulin secretion.	2001.0
MODEL1201140003	Lenbury2001_InsulinKineticsModel_B	SBML	L2V4	Modeling insulin kinetics: responses to a single oral glucose administration or ambulatory-fed conditions.	2001.0
MODEL1201140004	Magnus1997_MitoCa_BetaCellMinimalModel	SBML	L2V4	Minimal model of beta-cell mitochondrial Ca2+ handling.	1997.0
MODEL1201140005	Wanant2000_InsulinReceptorModel_A	SBML	L2V4	Insulin receptor binding kinetics: modeling and simulation studies.	2000.0
MODEL1201140006	Wanant2000_InsulinReceptorModel_B	SBML	L2V4	Insulin receptor binding kinetics: modeling and simulation studies.	2000.0
MODEL1201230000	Jol2012_YeastMetabolism_EFManalysis	SBML	L2V1	System-level insights into yeast metabolism by thermodynamic analysis of elementary flux modes.	2012.0
MODEL1202030000	Dupeux2011_ABAreceptor_Dimer	SBML	L2V4	A thermodynamic switch modulates abscisic acid receptor sensitivity.	2011.0
MODEL1202030001	Dupeux2011_ABAreceptor_Monomer	SBML	L2V4	A thermodynamic switch modulates abscisic acid receptor sensitivity.	2011.0
MODEL1202170000	Nazaret2008_Dynnik1980_CarbohydrateEnergyMetabolism	SBML	L2V4	"An old paper revisited: ""a mathematical model of carbohydrate energy metabolism. Interaction between glycolysis, the Krebs cycle and the H-transporting shuttles at varying ATPases load"" by V.V. Dynnik, R. Heinrich and E.E. Sel'kov."	2008.0
MODEL1202270000	Lee2012_GeneExpression_BasicDecoyModel	SBML	L2V4	A regulatory role for repeated decoy transcription factor binding sites in target gene expression.	2012.0
MODEL1202270001	Lee2012_GeneExpression_tTA-doxInteraction	SBML	L2V4	A regulatory role for repeated decoy transcription factor binding sites in target gene expression.	2012.0
MODEL1203220000	Mol2013 - Leishmania macrophage signaling network	SBML	L2V1	Signaling networks in Leishmania macrophages deciphered through integrated systems biology: a mathematical modeling approach.	2013.0
MODEL1203300000	MODEL1203300000				
MODEL1204040000	Houser2012_pheromone_Ste12	SBML	L2V4	Positive roles for negative regulators in the mating response of yeast.	2012.0
MODEL1204060000	Kubota2012_InsulinAction_AKTpathway	SBML	L2V4	Temporal coding of insulin action through multiplexing of the AKT pathway.	2012.0
MODEL1204070000	MODEL1204070000				
MODEL1204120000	Bekaert2012 - Reconstruction of D.rerio Metabolic Network	SBML	L2V4	Reconstruction of Danio rerio metabolic model accounting for subcellular compartmentalisation.	2012.0
MODEL1204240000	Sorokina2011_StarchMetabolism_Ostreococcus	SBML	L2V4	Microarray data can predict diurnal changes of starch content in the picoalga Ostreococcus.	2011.0
MODEL1204270001	Koenig2012 Hepatic Glucose Metabolism	SBML	L2V4	Quantifying the contribution of the liver to glucose homeostasis: a detailed kinetic model of human hepatic glucose metabolism.	2012.0
MODEL1204280001	Sarma2012 - Interaction topologies of MAPK cascade (M1_K1_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280002	Sarma2012 - Interaction topologies of MAPK cascade (M2_K1_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280003	Sarma2012 - Interaction topologies of MAPK cascade (M3_K1_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280004	Sarma2012 - Interaction topologies of MAPK cascade (M4_K1_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280005	Sarma2012 - Interaction topologies of MAPK cascade (M1_K1_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280006	Sarma2012 - Interaction topologies of MAPK cascade (M2_K1_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280007	Sarma2012 - Interaction topologies of MAPK cascade (M3_K1_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280008	Sarma2012 - Interaction topologies of MAPK cascade (M4_K1_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280009	Sarma2012 - Interaction topologies of MAPK cascade (M1_K1_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280010	Sarma2012 - Interaction topologies of MAPK cascade (M2_K1_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280011	Sarma2012 - Interaction topologies of MAPK cascade (M3_K1_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280012	Sarma2012 - Interaction topologies of MAPK cascade (M4_K1_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280013	Sarma2012 - Interaction topologies of MAPK cascade (M1_K1_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280014	Sarma2012 - Interaction topologies of MAPK cascade (M2_K1_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280015	Sarma2012 - Interaction topologies of MAPK cascade (M3_K1_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280016	Sarma2012 - Interaction topologies of MAPK cascade (M4_K1_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280017	Sarma2012 - Interaction topologies of MAPK cascade (M1_K2_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280018	Sarma2012 - Interaction topologies of MAPK cascade (M2_K2_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280019	Sarma2012 - Interaction topologies of MAPK cascade (M3_K2_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280021	Sarma2012 - Interaction topologies of MAPK cascade (M1_K2_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280022	Sarma2012 - Interaction topologies of MAPK cascade (M2_K2_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280023	Sarma2012 - Interaction topologies of MAPK cascade (M3_K2_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280025	Sarma2012 - Interaction topologies of MAPK cascade (M1_K2_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280026	Sarma2012 - Interaction topologies of MAPK cascade (M2_K2_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280027	Sarma2012 - Interaction topologies of MAPK cascade (M3_K2_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280028	Sarma2012 - Interaction topologies of MAPK cascade (M4_K2_USEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280029	Sarma2012 - Interaction topologies of MAPK cascade (M1_K2_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280030	Sarma2012 - Interaction topologies of MAPK cascade (M2_K2_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280031	Sarma2012 - Interaction topologies of MAPK cascade (M3_K2_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280032	Sarma2012 - Interaction topologies of MAPK cascade (M4_K2_PSEQ_short_duration_signal)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280033	Sarma2012 - Interaction topologies of MAPK cascade (M1_K2_QSS_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280034	Sarma2012 - Interaction topologies of MAPK cascade (M2_K2_QSS_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280035	Sarma2012 - Interaction topologies of MAPK cascade (M3_K2_QSS_USEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280037	Sarma2012 - Interaction topologies of MAPK cascade (M1_K2_QSS_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280038	Sarma2012 - Interaction topologies of MAPK cascade (M2_K2_QSS_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1204280039	Sarma2012 - Interaction topologies of MAPK cascade (M3_K2_QSS_PSEQ)	SBML	L2V4	Different designs of kinase-phosphatase interactions and phosphatase sequestration shapes the robustness and signal flow in the MAPK cascade.	2012.0
MODEL1206070000	Bazzani2012 - Genome scale networks of P.falciparum and human hepatocyte	SBML	L2V4	Network-based assessment of the selectivity of metabolic drug targets in Plasmodium falciparum with respect to human liver metabolism.	2012.0
MODEL1207300000	MODEL1207300000_url.xml	SBML	L2V4	A model of flux regulation in the cholesterol biosynthesis pathway: Immune mediated graduated flux reduction versus statin-like led stepped flux reduction.	2013.0
MODEL1208030000	Mandlik2013 - Synthetic circuit of IPC synthase in Leishmania	SBML	L2V1	Synthetic circuit of inositol phosphorylceramide synthase in Leishmania : a chemical biology approach.	2013.0
MODEL1208060000	Hoppe2012 - Predicting changes in metabolic function using transcript profiles (HepatoNet1b_mouse)	SBML	L2V4	ModeScore: A Method to Infer Changed Activity of Metabolic Function from Transcript Profiles	2012.0
MODEL1208280001	Geier2011 - Integrin activation	SBML	L2V1	A computational analysis of the dynamic roles of talin, Dok1, and PIPKI for integrin activation.	2011.0
MODEL1209060000	Heavner2012 - Metabolic Network of S.cerevisiae	SBML	L2V4	Yeast 5 - an expanded reconstruction of the Saccharomyces cerevisiae metabolic network.	2012.0
MODEL1209260000	Koenig2012 Hepatic Glucose Metabolism in Type 2 Diabetes	SBML	L2V4	Kinetic modeling of human hepatic glucose metabolism in type 2 diabetes mellitus predicts higher risk of hypoglycemic events in rigorous insulin therapy.	2012.0
MODEL1210260004	Viladomiu2012 - PPARgamma role in C.diff associated disease	SBML	L2V4	Modeling the role of peroxisome proliferator-activated receptor γ and microRNA-146 in mucosal immune responses to Clostridium difficile.	2012.0
MODEL1212040000	Karlstaedt2012 - CardioNet, A Human Metabolic Network	SBML	L2V4	CardioNet: a human metabolic network suited for the study of cardiomyocyte metabolism.	2012.0
MODEL1212060001	Dreyfuss2013 - Genome-Scale Metabolic Model - N.crassa iJDZ836	SBML	L2V1	Reconstruction and validation of a genome-scale metabolic model for the filamentous fungus Neurospora crassa using FARM.	2013.0
MODEL1301290000	Wodke2013 - Genome-scale constraint-based model of M.pneumoniae energy metabolism (iJW145)	SBML	L2V1	Dissecting the energy metabolism in Mycoplasma pneumoniae through genome-scale metabolic modeling.	2013.0
MODEL1302010000	Pitkanen2014 - Metabolic reconstruction of Phaeosphaeria nodorum using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010001	Pitkanen2014 - Metabolic reconstruction of Fusarium verticillioides using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010002	Pitkanen2014 - Metabolic reconstruction of Chaetomium globosum using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010003	Pitkanen2014 - Metabolic reconstruction of Candida tropicalis using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010004	Pitkanen2014 - Metabolic reconstruction of Pichia guilliermondii using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010005	Pitkanen2014 - Metabolic reconstruction of Aspergillus nidulans using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010006	Pitkanen2014 - Metabolic reconstruction of Coprinus cinereus using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010007	Pitkanen2014 - Metabolic reconstruction of Coccidioides immitis using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010008	Pitkanen2014 - Metabolic reconstruction of Aspergillus oryzae using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010009	Pitkanen2014 - Metabolic reconstruction of Magnaporthe grisea using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010010	Pitkanen2014 - Metabolic reconstruction of Phycomyces blakesleeanus using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010011	Pitkanen2014 - Metabolic reconstruction of Kluyveromyces lactis using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010012	Pitkanen2014 - Metabolic reconstruction of Aspergillus clavatus using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010013	Pitkanen2014 - Metabolic reconstruction of Yarrowia lipolytica using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010014	Pitkanen2014 - Metabolic reconstruction of Fusarium oxysporum using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010015	Pitkanen2014 - Metabolic reconstruction of Aspergillus terreus using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010016	Pitkanen2014 - Metabolic reconstruction of Ustilago maydis using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
MODEL1302010017	Pitkanen2014 - Metabolic reconstruction of Aspergillus niger using CoReCo	SBML	L2V4	Comparative genome-scale reconstruction of gapless metabolic networks for present and ancestral species.	2014.0
